,Close,Day,Symbol
2020-10-16 00:00:00,16.200000762939453,2020-10-16 00:00:00,NCLH
2020-10-16 00:00:00,54.15999984741211,2020-10-16 00:00:00,INTC
2020-10-16 00:00:00,339.3999938964844,2020-10-16 00:00:00,MA
2020-10-16 00:00:00,1067.2099609375,2020-10-16 00:00:00,SHOP
2020-10-16 00:00:00,33.45000076293945,2020-10-16 00:00:00,GM
2020-10-16 00:00:00,467.010009765625,2020-10-16 00:00:00,ORLY
2020-10-16 00:00:00,21.899999618530273,2020-10-16 00:00:00,EWH
2020-10-16 00:00:00,60.290000915527344,2020-10-16 00:00:00,ORCL
2020-10-16 00:00:00,124.0199966430664,2020-10-16 00:00:00,PKI
2020-10-16 00:00:00,350.57000732421875,2020-10-16 00:00:00,EPAM
2020-10-16 00:00:00,31.889999389648438,2020-10-16 00:00:00,CWH
